1448090526746546179	1488965974007193600	1433801079645429771		
1488965974007193600	1517264998682271744	1520471479137325056	1488861861604962309	1515055639755640832
1514390476807450628	1488861861604962309	1500441319638020096	1518977087427784705	1496537997424136203
1481706376132976640	1520471479137325056			
1500441319638020096	1512753869415100416			
1511124612217720843	1519220857637326848	1480555603651022850	1192084590778650625	
1070099092246802432	1423433895870095361			
1516161175746191368	1461226849325961219			
1467023095324192772				
1428673608856084483	1217924547619491840			
1423273633951059979	1348231058022653953			
1522968949725442048	1503914372871208962			
1487970809192792067	1252699627662585862	781647549648306177	1511124612217720843	
1517314582347489282	1514390476807450628			
1516161175746191368	1483921871246888961			
1525016165852012545	1510733760333025285	1508209485885620224	1516925362176987142	1494515447764754433
				
1446865464865349636	840042680			
1520736794178101248	1520471479137325056			
1517264998682271744	1501058336912982018			
1514390476807450628	1520038502066438144	1317385210254651393	1511124612217720843	
